Team
opponent_points_per_game
opponent_average_scoring_margin
defensive_efficiency
opponent_floor_percentage
opponent_1st_half_points_per_game
opponent_2nd_half_points_per_game
opponent_overtime_points_per_game
opponent_points_from_2_pointers
opponent_points_from_3_pointers
opponent_percent_of_points_from_2_pointers
opponent_percent_of_points_from_3_pointers
opponent_percent_of_points_from_free_throws
opponent_shooting_pct
opponent_effective_field_goal_pct
opponent_three_point_pct
opponent_two_point_pct
opponent_free_throw_pct
opponent_true_shooting_percentage
opponent_three_point_rate
opponent_two_point_rate
opponent_fta_per_fga
opponent_ftm_per_100_possessions
opponent_free_throw_rate
opponent_non_blocked_2_pt_pct
opponent_offensive_rebounds_per_game
opponent_defensive_rebounds_per_game
opponent_offensive_rebounding_pct
opponent_defensive_rebounding_pct
opponent_blocks_per_game
opponent_steals_per_game
opponent_block_pct
opponent_steals_perpossession
opponent_steal_pct
opponent_assists_per_game
opponent_turnovers_per_game
opponent_assist_per_turnover_ratio
opponent_assists_per_fgm
opponent_assists_per_possession
opponent_turnovers_per_possession
opponent_turnover_pct
opponent_personal_fouls_per_game
opponent_personal_fouls_per_possession
opponent_personal_foul_pct
opponent_win_pct_close_games
opponent_win_pct_all_games
opponent_effective_possession_ratio
games_played
